x values,y values
0,0.0
1,9.8
2,19.2
3,28.2
4,36.8
5,45.0
6,52.8
7,60.2
8,67.2
9,73.8
10,80.0
11,85.8
12,91.2
13,96.2
14,100.8
15,105.0
16,108.8
17,112.2
18,115.2
19,117.8
20,120.0
21,121.8
22,123.2
23,124.2
24,124.8
25,125.0
26,124.80000000000001
27,124.19999999999999
28,123.19999999999999
29,121.80000000000001
30,120.0
31,117.80000000000001
32,115.19999999999999
33,112.19999999999999
34,108.80000000000001
35,105.0
36,100.80000000000001
37,96.19999999999999
38,91.19999999999999
39,85.80000000000001
40,80.0
41,73.80000000000001
42,67.19999999999999
43,60.19999999999999
44,52.80000000000001
45,45.0
46,36.80000000000001
47,28.19999999999999
48,19.19999999999999
49,9.800000000000011
50,0.0
