x values,y values
0,15.8
1,14.0
2,21.333333333333332
3,23.71111111111111
4,32.01481481481481
5,38.175308641975306
6,44.130041152263374
7,50.50178326474622
8,53.14394147233653
9,62.54857491236092
10,69.83083879489915
11,75.85980456908669
12,81.29688112132861
13,86.65222856347178
14,92.31636989493347
15,94.25619948613509
16,99.25752312702285
17,100.57124087105264
18,104.2095879993585
19,107.92694295680371
20,113.31217698538741
21,111.81303998073037
22,115.44173898870592
23,116.3515929898121
24,120.26444399283935
25,121.80534566088382
26,124.08992988457437
27,123.6984251818194
28,123.86278502213126
29,120.18707006798356
30,121.94995169670494
31,121.11234058822949
32,116.75409742831147
33,115.22214600551365
34,111.99208114460838
35,108.33807571670735
36,108.17671895377191
37,103.23826489015975
38,100.4049946146439
39,94.21441983493456
40,90.80647148319282
41,82.40696377270912
42,80.47114508530065
43,70.22603628600326
44,66.56572712376797
45,56.86392113659042
46,48.209882753452796
47,42.09126796334774
48,36.03371690560018
49,27.374994956315973
50,31.704355930958076
