x values,y values
0,-9.0
1,-4.2
2,9.2
3,8.2
4,15.8
5,24.0
6,28.8
7,24.2
8,18.2
9,21.8
10,21.0
11,38.8
12,30.2
13,30.200000000000003
14,32.8
15,30.0
16,19.799999999999997
17,33.2
18,16.200000000000003
19,22.799999999999997
20,11.0
21,11.799999999999997
22,13.200000000000003
23,13.200000000000003
24,1.7999999999999972
25,-5.0
26,2.8000000000000114
27,-10.800000000000011
28,-8.800000000000011
29,-19.19999999999999
30,-31.0
31,-44.19999999999999
32,-38.80000000000001
33,-46.80000000000001
34,-66.19999999999999
35,-73.0
36,-88.19999999999999
37,-82.80000000000001
38,-103.80000000000001
39,-105.19999999999999
40,-123.0
41,-140.2
42,-136.8
43,-152.8
44,-161.2
45,-180.0
46,-193.2
47,-215.8
48,-223.8
49,-231.2
50,-259.0
51,-272.20000000000005
52,-285.79999999999995
53,-288.79999999999995
54,-316.20000000000005
55,-337.0
56,-343.20000000000005
57,-373.79999999999995
58,-387.79999999999995
59,-410.20000000000005
60,-429.0
61,-433.20000000000005
62,-452.79999999999995
63,-476.79999999999995
64,-508.20000000000005
65,-516.0
66,-533.2
67,-562.8
68,-578.8
69,-605.2
70,-631.0
71,-645.2
72,-681.8
73,-698.8
74,-728.2
75,-751.0
76,-776.2
77,-798.8
78,-818.8
79,-862.2
80,-887.0
81,-899.2
82,-934.8
83,-962.8
84,-983.2
85,-1020.0
86,-1047.2
87,-1070.8
88,-1113.8
89,-1140.2
90,-1164.0
91,-1202.2
92,-1226.8
93,-1271.8
94,-1291.2
95,-1326.0
96,-1364.2
97,-1388.8
98,-1431.8
99,-1466.2
100,-1501.0
