x values,y values
0,-4.2
1,2.4999999999999996
2,2.166666666666666
3,6.822222222222223
4,10.996296296296295
5,15.539506172839504
6,16.9119341563786
7,16.8838134430727
8,18.531915866483768
9,18.80524310318549
10,25.379052989889754
11,24.794765364358415
12,26.791272784749392
13,28.128679383035934
14,28.30665072259511
15,25.411776701877013
16,28.97280914149071
17,23.528195281122578
18,25.100334807537763
19,19.876176696220114
20,18.925503834585957
21,17.33389351026869
22,16.486465781618218
23,11.873453097295636
24,7.786639626304617
25,7.486697574533422
26,1.4911124002793426
27,0.059269991604251025
28,-5.883205869372131
29,-12.274645292589293
30,-20.785950387320472
31,-23.95353189330326
32,-30.513160760207914
33,-40.22223088450372
34,-47.91179721490388
35,-58.7780093664692
36,-63.1632688604577
37,-75.24709274230896
38,-81.20345386758889
39,-93.15018220329928
40,-104.85121202362939
41,-111.60046474230955
42,-123.08389225531299
43,-131.96145233254086
44,-145.01511486261793
45,-156.72552239838626
46,-172.51354575366804
47,-184.3463560506848
48,-196.01996726811763
49,-213.12210777293413
50,-227.11402501368391
51,-242.01204426220602
52,-252.6420230919633
53,-270.28468911805646
54,-286.64223740333995
55,-300.04230884046547
56,-320.1615154146018
57,-336.0012747516891
58,-355.45426338876365
59,-373.4851793801509
60,-387.3798142563049
61,-404.55499787881854
62,-422.9116040450411
63,-445.2222006412865
64,-461.3779348954425
65,-479.93337851224305
66,-501.3704378025618
67,-520.0346054382683
68,-542.2016810802767
69,-564.4120955061817
70,-583.9379255288194
71,-610.050007011667
72,-630.9293108468288
73,-656.393105952832
74,-679.440805599887
75,-704.0113038509063
76,-727.417369816931
77,-750.0762245559457
78,-779.8978647909589
79,-805.6580297823016
80,-828.2519648577536
81,-856.2366648800183
82,-882.4295432459239
83,-907.2887360419809
84,-936.572759762635
85,-963.6871652682054
86,-990.3533083436135
87,-1022.6134912039397
88,-1051.0555998491845
89,-1079.2230303510414
90,-1110.8262100667419
91,-1138.9497468059278
92,-1173.85865229089
93,-1201.3361330322725
94,-1233.7315951077208
95,-1266.4225760466643
96,-1296.3180570514617
97,-1331.513544366042
98,-1364.677200472501
99,-1399.0635816128477
100,-1381.8703910426743
