x values,y values
0,0.0
1,4.8
2,9.2
3,13.2
4,16.8
5,20.0
6,22.8
7,25.2
8,27.2
9,28.8
10,30.0
11,30.8
12,31.2
13,31.200000000000003
14,30.799999999999997
15,30.0
16,28.799999999999997
17,27.200000000000003
18,25.200000000000003
19,22.799999999999997
20,20.0
21,16.799999999999997
22,13.200000000000003
23,9.200000000000003
24,4.799999999999997
25,0.0
26,-5.199999999999989
27,-10.800000000000011
28,-16.80000000000001
29,-23.19999999999999
30,-30.0
31,-37.19999999999999
32,-44.80000000000001
33,-52.80000000000001
34,-61.19999999999999
35,-70.0
36,-79.19999999999999
37,-88.80000000000001
38,-98.80000000000001
39,-109.19999999999999
40,-120.0
41,-131.2
42,-142.8
43,-154.8
44,-167.2
45,-180.0
46,-193.2
47,-206.8
48,-220.8
49,-235.2
50,-250.0
51,-265.20000000000005
52,-280.79999999999995
53,-296.79999999999995
54,-313.20000000000005
55,-330.0
56,-347.20000000000005
57,-364.79999999999995
58,-382.79999999999995
59,-401.20000000000005
60,-420.0
61,-439.20000000000005
62,-458.79999999999995
63,-478.79999999999995
64,-499.20000000000005
65,-520.0
66,-541.2
67,-562.8
68,-584.8
69,-607.2
70,-630.0
71,-653.2
72,-676.8
73,-700.8
74,-725.2
75,-750.0
76,-775.2
77,-800.8
78,-826.8
79,-853.2
80,-880.0
81,-907.2
82,-934.8
83,-962.8
84,-991.2
85,-1020.0
86,-1049.2
87,-1078.8
88,-1108.8
89,-1139.2
90,-1170.0
91,-1201.2
92,-1232.8
93,-1264.8
94,-1297.2
95,-1330.0
96,-1363.2
97,-1396.8
98,-1430.8
99,-1465.2
100,-1500.0
