x values,y values
0,4.0
1,8.8
2,13.2
3,21.2
4,7.800000000000001
5,11.0
6,13.8
7,18.2
8,27.2
9,27.8
10,29.0
11,34.8
12,39.2
13,35.2
14,25.799999999999997
15,36.0
16,36.8
17,31.200000000000003
18,29.200000000000003
19,17.799999999999997
20,28.0
21,20.799999999999997
22,21.200000000000003
23,15.200000000000003
24,-2.200000000000003
25,2.0
26,-5.199999999999989
27,-4.800000000000011
28,-16.80000000000001
29,-17.19999999999999
30,-39.0
31,-42.19999999999999
32,-47.80000000000001
33,-48.80000000000001
34,-59.19999999999999
35,-62.0
36,-82.19999999999999
37,-84.80000000000001
38,-92.80000000000001
39,-107.19999999999999
40,-123.0
41,-123.19999999999999
42,-149.8
43,-154.8
44,-170.2
45,-176.0
46,-202.2
47,-202.8
48,-221.8
49,-236.2
50,-251.0
51,-263.20000000000005
52,-280.79999999999995
53,-288.79999999999995
54,-311.20000000000005
55,-322.0
56,-343.20000000000005
57,-360.79999999999995
58,-378.79999999999995
59,-401.20000000000005
60,-429.0
61,-448.20000000000005
62,-454.79999999999995
63,-481.79999999999995
64,-508.20000000000005
65,-525.0
66,-533.2
67,-554.8
68,-593.8
69,-612.2
70,-633.0
71,-662.2
72,-672.8
73,-709.8
74,-732.2
75,-744.0
76,-782.2
77,-796.8
78,-829.8
79,-849.2
80,-883.0
81,-907.2
82,-943.8
83,-967.8
84,-985.2
85,-1023.0
86,-1049.2
87,-1079.8
88,-1111.8
89,-1139.2
90,-1179.0
91,-1206.2
92,-1230.8
93,-1265.8
94,-1289.2
95,-1328.0
96,-1355.2
97,-1388.8
98,-1422.8
99,-1459.2
100,-1500.0
